,app_id,german,french,spanish,brazilian,russian,italian,schinese,japanese,koreana,polish
179,368260,"(9,698)",(543),(388),(204),(149),(129),"(1,516)",(46),(449),(132)
180,815370,"(26,261)","(2,497)","(2,462)","(3,094)","(3,789)",(357),"(9,690)",(259),"(1,273)","(2,568)"
181,756800,"(3,877)",(355),(151),(200),(892),(107),(846),(45),(299),(532)
182,1562430,"(14,613)",(570),(583),(268),(184),(204),"(1,351)",(99),(389),(85)
183,945360,"(421,379)","(13,366)","(35,470)","(28,527)","(61,227)","(2,794)","(15,247)","(1,112)","(10,188)","(24,343)"
184,799960,"(5,753)",(13),(29),(56),(17),(0),(51),(3),(2),(0)
185,767560,"(8,568)",(334),"(1,542)",(682),"(2,611)",(180),"(2,190)",(141),(206),(571)
186,477160,"(40,978)","(1,631)","(5,350)","(4,899)","(16,773)",(524),"(87,009)",(635),"(9,195)","(3,416)"
187,529340,"(18,584)",(801),(724),(540),"(1,326)",(219),"(7,238)",(229),"(1,168)",(461)
188,620980,"(56,555)","(1,534)",(895),(495),"(2,068)",(191),"(2,946)",(506),"(1,360)",(680)
189,1919590,"(19,544)","(1,020)","(1,826)","(1,894)",(432),(394),"(13,284)",(56),(484),"(1,030)"
190,747660,"(34,459)",(877),"(4,906)","(2,499)","(5,400)",(309),(271),(35),(150),"(2,037)"
191,1476970,"(11,190)",(291),(262),(538),(388),(34),(134),(29),(49),(280)
192,1446780,"(35,922)","(1,801)","(2,896)","(1,861)",(373),(690),"(22,070)","(1,778)","(4,864)",(258)
193,16900,"(11,000)",(316),(370),(440),(517),(101),(944),(42),(385),(150)
194,1167630,"(53,090)","(1,231)","(1,559)","(1,160)","(8,441)",(355),"(1,528)",(85),(206),"(2,566)"
195,1846380,"(10,860)",(352),(715),(727),"(1,138)",(91),"(3,313)",(114),(236),(714)
196,1084160,"(4,625)",(153),(48),(34),(795),(23),(638),(10),(58),(263)
197,376210,"(43,813)","(1,847)","(1,814)","(5,667)","(5,408)",(252),"(3,609)",(49),(897),"(1,619)"
198,2183650,(187),(2),(5),(10),(0),(1),(37),(48),(6),(0)
199,2195250,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed,Failed
200,768200,"(3,475)",(294),(215),(173),(201),(23),(143),(38),(16),(21)
201,1268750,"(17,126)",(376),(373),(114),(645),(61),"(2,011)",(156),(230),(70)
202,552500,"(58,632)","(2,741)","(2,966)","(2,420)","(12,423)",(643),"(23,000)",(190),"(1,537)","(1,770)"
203,444200,"(21,331)","(1,497)","(2,837)","(2,208)","(79,163)",(352),"(5,622)",(328),"(1,172)","(5,395)"
204,1702010,"(1,054)",(185),(57),(35),(140),(9),(249),(231),(40),(32)
205,582010,"(139,458)","(8,981)","(11,416)","(9,575)","(3,888)","(2,349)","(147,167)","(3,007)","(30,653)","(2,004)"
206,292030,"(233,278)","(12,658)","(20,411)","(41,222)","(109,991)","(3,410)","(169,419)","(1,311)","(14,906)","(38,179)"
207,1307890,"(4,316)",(205),(111),(164),(244),(22),(538),(79),(14),(91)
208,242760,"(196,862)","(11,015)","(29,128)","(18,032)","(65,506)","(2,442)","(59,922)",(921),"(8,160)","(29,227)"
209,1244460,"(13,345)",(949),"(1,137)",(909),(681),(216),"(1,717)",(51),(516),(707)
210,9900,"(15,812)",(440),(333),(364),(95),(121),(89),(15),(40),(131)
211,1454970,(526),(22),(16),(2),(14),(7),(20),(1),(1),(14)
212,1928420,"(8,021)",(326),"(1,504)","(7,500)","(2,035)",(178),(326),(31),(115),(179)
213,22380,"(150,768)","(3,155)","(9,993)","(5,217)",(205),"(1,523)","(3,235)",(327),"(2,201)",(131)
